Address,City,Name,URL,Program De,School dis,Image,result_num,status,formatted_,place_id,location_t,latlong
101 Kate Schenck Ave,"San Antonio, TX",Schenck Elementary,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"101 Kate Schenck Ave, San Antonio, TX 78223, USA",ChIJtR6MDQv3XIYRcUeOz4wCfVw,ROOFTOP,"29.361797,-98.436481"
401 Berkshire,"San Antonio, TX",Young Women’s Leadership Academy,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"401 Berkshire Ave, San Antonio, TX 78210, USA",ChIJzQrmuiP2XIYR0pQe2K5lMWQ,ROOFTOP,"29.399403,-98.47680799999999"
400 Eagleland Drive,"San Antonio, TX",Brackenridge High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"400 Eagleland Dr, San Antonio, TX 78210, USA",ChIJfVyXr6FYXIYRwVh12yZCFSU,ROOFTOP,"29.404749,-98.487608"
1002 Edwards St.,"San Antonio, TX",Burbank High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"1002 Edwards, San Antonio, TX 78204, USA",ChIJHR4qq-1YXIYRyxt3Z7HGPmg,ROOFTOP,"29.3928838,-98.5092028"
701 Santa Monica Drive,"San Antonio, TX",Edison High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"701 Santa Monica, San Antonio, TX 78212, USA",ChIJx5tni59fXIYRiBUxYzYkfhc,ROOFTOP,"29.4720809,-98.5049999"
637 N. Main Avenue,"San Antonio, TX",Fox Tech High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"637 N Main Ave, San Antonio, TX 78205, USA",ChIJR8Hu3FFfXIYRwOYf1yfOUSk,ROOFTOP,"29.4324989,-98.4949656"
3118 Elgin Ave,"San Antonio, TX",Highlands High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"3118 Elgin Ave, San Antonio, TX 78210, USA",ChIJSyZHWVb2XIYRKTVVBKPwjPA,ROOFTOP,"29.3882158,-98.44258549999999"
723 Donaldson Ave.,"San Antonio, TX",Jefferson High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"723 Donaldson Ave, San Antonio, TX 78201, USA",ChIJFWkvb_deXIYRrixHQ9gBmOw,ROOFTOP,"29.4651956,-98.53961699999999"
1514 W. Cesar E. Chavez Blvd.,"San Antonio, TX",Lanier High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"1514 W César E Chávez Blvd, San Antonio, TX 78207, USA",ChIJh27pbs1YXIYRheM08NY0ipA,ROOFTOP,"29.42182,-98.5158917"
4635 E. Houston St.,"San Antonio, TX",Sam Houston High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"4635 E Houston St, San Antonio, TX 78220, USA",ChIJK3n8f6v2XIYRIehoet9BcHo,ROOFTOP,"29.4253751,-98.3992038"
1731 Dahlgreen,"San Antonio, TX",Gardendale Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"0",OK,"1731 Dahlgreen Ave, San Antonio, TX 78237, USA",ChIJoYC7LFFZXIYR0sz-WcD68k4,ROOFTOP,"29.4121029,-98.56665059999999"
2803 Castroville,"San Antonio, TX",Henry B. Gonzalez Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"0",OK,"2803 Castroville Rd, San Antonio, TX 78237, USA",ChIJc90iZPBbXIYRcS7iGjOL3y4,ROOFTOP,"29.4102164,-98.5840351"
115 Las Palmas,"San Antonio, TX",Las Palmas Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"0",OK,"115 Las Palmas Dr, San Antonio, TX 78237, USA",ChIJmy_12jRZXIYRxeAgHSW7XnU,ROOFTOP,"29.4210438,-98.5472963"
400 Aurora Drive,"San Antonio, TX",Loma Park Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"0",OK,"400 Aurora, San Antonio, TX 78228, USA",ChIJ8_OviB9cXIYRiRFujvLFMGY,ROOFTOP,"29.4426891,-98.5741405"
6515 W Commerce,"San Antonio, TX",Lyndon B. Johnson Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"0",OK,"6515 W Commerce St, San Antonio, TX 78227, USA",ChIJX_41iRNcXIYRzGiWvQIeZko,ROOFTOP,"29.435715,-98.5903723"
1507 Ceralvo,"San Antonio, TX",Perales Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"0",OK,"1507 Ceralvo St, San Antonio, TX 78237, USA",ChIJZwOrPzhZXIYRnaL2Il67n9g,ROOFTOP,"29.4091285,-98.5485406"
3823 Fortuna,"San Antonio, TX",Roosevelt Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"0",OK,"3823 Fortuna, San Antonio, TX 78237, USA",ChIJWxAfk6ReXIYRqVNlxVDHULo,ROOFTOP,"29.4369788,-98.56257339999999"
