Address,City,Name,URL,Program Details,School District,Image,Formatted Address,latlong,lat,long
318 Martin L. King Drive,"San Antonio, TX",Douglass Academy,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"318 Martin Luther King Dr, San Antonio, TX 78203, USA","29.4130003,-98.4740006",29.4130003,-98.4740006
530 Hoover Ave,"San Antonio, TX",Graebner Elementary,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"530 Hoover Ave, San Antonio, TX 78225, USA","29.3848504,-98.52875429999999",29.3848504,-98.5287543
4826 Sea Breeze Drive,"San Antonio, TX",Hirsch Elementary,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"4826 Seabreeze Dr, San Antonio, TX 78220, USA","29.400986,-98.3988",29.400986,-98.3988
314 Astor St,"San Antonio, TX",Japhet Academy,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"314 Astor St, San Antonio, TX 78210, USA","29.3869967,-98.46785179999999",29.3869967,-98.4678518
107 Raleigh Pl,"San Antonio, TX",Maverick Elementary,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"107 Raleigh Pl, San Antonio, TX 78201, USA","29.4784259,-98.5469959",29.4784259,-98.5469959
9210 S. Presa St,"San Antonio, TX",Mission Academy,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"9210 S Presa St, San Antonio, TX 78223, USA","29.3301199,-98.4399289",29.3301199,-98.4399289
3501 Martin L. King Drive,"San Antonio, TX",M.L. King Academy,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"3501 Martin Luther King Dr, San Antonio, TX 78220, USA","29.41442929999999,-98.4210585",29.4144293,-98.4210585
101 Kate Schenck Ave,"San Antonio, TX",Schenck Elementary,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"101 Kate Schenck Ave, San Antonio, TX 78223, USA","29.361797,-98.436481",29.361797,-98.436481
401 Berkshire,"San Antonio, TX",Young Women’s Leadership Academy,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"401 Berkshire Ave, San Antonio, TX 78210, USA","29.399403,-98.47680799999999",29.399403,-98.476808
400 Eagleland Drive,"San Antonio, TX",Brackenridge High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"400 Eagleland Dr, San Antonio, TX 78210, USA","29.404749,-98.487608",29.404749,-98.487608
