Address,City,City,State,Name,URL,Program Details,School district,Image
1514 W. Cesar E. Chavez Blvd.,"San Antonio, TX",San Antonio, TX,Lanier High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg
4635 E. Houston St.,"San Antonio, TX",San Antonio, TX,Sam Houston High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg
1731 Dahlgreen,"San Antonio, TX",San Antonio, TX,Gardendale Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
2803 Castroville,"San Antonio, TX",San Antonio, TX,Henry B. Gonzalez Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
115 Las Palmas,"San Antonio, TX",San Antonio, TX,Las Palmas Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
400 Aurora Drive,"San Antonio, TX",San Antonio, TX,Loma Park Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
6515 W Commerce,"San Antonio, TX",San Antonio, TX,Lyndon B. Johnson Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
1507 Ceralvo,"San Antonio, TX",San Antonio, TX,Perales Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
3823 Fortuna,"San Antonio, TX",San Antonio, TX,Roosevelt Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
3011 Ruiz St,"San Antonio, TX",San Antonio, TX,Roy Cisneros Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
